country,iso2,iso3,iso_numeric,g_whoregion,year,pulm_tb_rep_meth,new_sp_coh,new_sp_cur,new_sp_cmplt,new_sp_died,new_sp_fail,new_sp_def,c_new_sp_tsr
Afghanistan,AF,AFG,4,EMR,1997,Smear,2001,786,108,33,22,164,45
Afghanistan,AF,AFG,4,EMR,1998,Smear,2913,772,199,48,23,168,33
Afghanistan,AF,AFG,4,EMR,1999,Smear,2039,1571,189,83,45,113,86
Afghanistan,AF,AFG,4,EMR,2000,Smear,3136,2396,283,107,91,198,85
Afghanistan,AF,AFG,4,EMR,2001,Smear,6292,3305,2004,238,106,439,84
Afghanistan,AF,AFG,4,EMR,2002,Smear,7780,4668,2090,308,141,368,87
Afghanistan,AF,AFG,4,EMR,2003,Smear,6793,5505,340,229,117,349,86
Afghanistan,AF,AFG,4,EMR,2004,Smear,9976,7846,1034,303,179,272,89
Afghanistan,AF,AFG,4,EMR,2005,Smear,10013,8295,687,215,137,215,90
Afghanistan,AF,AFG,4,EMR,2006,Smear,12468,9921,608,257,143,265,84
Afghanistan,AF,AFG,4,EMR,2007,Smear,13213,10859,663,260,180,254,87
Afghanistan,AF,AFG,4,EMR,2008,Smear,13136,10936,593,267,139,277,88
Afghanistan,AF,AFG,4,EMR,2009,Smear,12497,10323,483,247,112,263,86
Afghanistan,AF,AFG,4,EMR,2010,Smear,12947,11175,446,254,119,241,90
